ogrid	relation	dgrid	m
20	0	71	13
20	0	73	21
20	0	78	14
20	0	79	74
20	0	96	11
20	0	105	18
20	0	106	23
20	0	108	112
20	0	175	17
21	0	0	10
21	0	16	106
21	0	17	28
21	0	18	120
21	0	19	338094
21	0	20	189
21	0	22	12
21	0	23	28
21	0	24	68
21	0	25	34221
21	0	39	227
21	0	40	71832
21	0	41	323
21	0	61	255
21	0	62	12
21	0	64	19
21	0	65	23
21	0	66	11
21	0	105	10
21	0	106	16
21	0	108	145966
21	0	150	113
21	0	155	10
21	0	158	10
21	0	172	44
21	0	173	44
21	0	175	52
22	0	16	76
22	0	17	37
22	0	18	267029
22	0	19	12146
22	0	20	34
22	0	23	84437
22	0	24	153
22	0	26	11866
22	0	108	59
23	0	16	60
23	0	17	12319
23	0	18	1580
23	0	19	78158
23	0	20	34
23	0	21	20
23	0	22	82292
23	0	24	97240
23	0	26	5544
23	0	108	47
24	0	16	543
24	0	17	305585
24	0	18	437
24	0	19	358776
24	0	20	12906
24	0	21	53
24	0	22	133
24	0	23	84852
24	0	26	180
24	0	39	10
24	0	40	13
24	0	79	11
24	0	108	135
25	0	19	225
25	0	21	29288
25	0	39	18
25	0	40	20080
25	0	41	12
25	0	61	37
25	0	108	27
26	0	16	38
26	0	17	20179
26	0	18	19370
26	0	19	206
26	0	20	223
26	0	22	11761
26	0	23	2688
26	0	24	121
26	0	43	43
26	0	44	33122
26	0	46	109
26	0	47	158021
26	0	48	40
26	0	49	111704
26	0	50	46
26	0	51	102130
26	0	108	17
27	0	1	12
27	0	2	20
27	0	3	27306
27	0	8	157
27	0	28	105
27	0	29	15
27	0	30	12
27	0	32	51337
27	0	33	26
27	0	34	254
27	0	66	11
27	0	81	16
27	0	84	10
27	0	92	15
27	0	94	143
27	0	135	72
27	0	180	23
28	0	0	24
28	0	2	15
28	0	3	26
28	0	8	28
28	0	27	145
28	0	29	26523
28	0	30	26
28	0	31	83929
28	0	32	422
28	0	33	81
28	0	34	96380
28	0	53	17
28	0	57	28
28	0	59	19
28	0	67	15
28	0	68	11
28	0	81	7209
28	0	82	27
28	0	83	28
28	0	84	396
28	0	85	76
28	0	87	23
28	0	92	28
28	0	94	47
28	0	95	11
28	0	96	38
28	0	101	27
28	0	102	14
28	0	103	16
28	0	104	35
28	0	151	24
29	0	0	32
29	0	2	20
29	0	7	38
29	0	8	138
29	0	10	62
29	0	11	32
29	0	12	18
29	0	13	10
29	0	27	12
29	0	28	29054
29	0	30	120
29	0	31	161241
29	0	32	99
29	0	33	839
29	0	34	198890
29	0	39	14
29	0	53	60
29	0	56	49
29	0	57	20192
29	0	58	12
29	0	59	41212
29	0	62	17
29	0	64	90
29	0	67	137
29	0	68	30
29	0	69	33
29	0	81	621
29	0	82	55
29	0	83	25
29	0	84	263
29	0	85	42
29	0	87	17
29	0	88	20
29	0	91	31
29	0	92	65
29	0	94	227
29	0	95	8609
29	0	96	41
29	0	100	98
29	0	101	18
29	0	103	24
29	0	142	32
29	0	145	10
30	0	28	39
30	0	29	125
30	0	31	41
30	0	32	132
30	0	33	95302
30	0	34	313054
30	0	59	11
30	0	92	19
30	0	94	74
30	0	95	190
30	0	97	16
30	0	131	21
30	0	135	13
30	0	151	25
31	0	0	10
31	0	8	22
31	0	27	11
31	0	28	80101
31	0	29	168496
31	0	30	42
31	0	32	18
31	0	33	86
31	0	34	516
31	0	53	116
31	0	54	12
31	0	55	10
31	0	56	27
31	0	57	1923
31	0	59	38
31	0	64	21
31	0	67	22229
31	0	68	67
31	0	69	31
31	0	75	10
31	0	81	210715
31	0	82	69
31	0	83	16
31	0	84	291
31	0	85	35
31	0	87	15
31	0	91	11
31	0	92	23
31	0	94	33
31	0	95	13
31	0	96	22
31	0	100	87
31	0	103	10
31	0	151	22
32	0	0	18
32	0	2	18
32	0	3	3135
32	0	7	12
32	0	8	49
32	0	27	53737
32	0	28	418
32	0	29	82
32	0	30	94
32	0	31	19
32	0	33	140
32	0	34	151073
32	0	57	11
32	0	64	12
32	0	66	12
32	0	81	35
32	0	84	17
32	0	91	19
32	0	92	5874
32	0	94	5209
32	0	95	12
32	0	96	43
32	0	97	13
32	0	129	34
32	0	131	37
32	0	151	11
33	0	0	10
33	0	2	36
33	0	8	15
33	0	27	23
33	0	28	110
33	0	29	869
33	0	30	99452
33	0	31	84
33	0	32	163
33	0	34	180283
33	0	57	47
33	0	59	50
33	0	64	16
33	0	69	10
33	0	81	26
33	0	84	11
33	0	92	35
33	0	94	79
33	0	95	7568
33	0	96	11
33	0	100	185
33	0	135	59
34	0	0	288
34	0	1	14
34	0	2	84
34	0	3	40
34	0	7	46
34	0	8	105
34	0	10	18
34	0	12	21
34	0	13	53
34	0	19	10
34	0	27	242
34	0	28	97023
34	0	29	194456
34	0	30	308920
34	0	31	448
34	0	32	152275
34	0	33	183143
34	0	39	19
34	0	53	16
34	0	56	10
34	0	57	79
34	0	59	88
34	0	60	10
34	0	62	10
34	0	64	74
34	0	65	20
34	0	66	31
34	0	67	20
34	0	69	13
34	0	81	504
34	0	82	41
34	0	83	49
34	0	84	166
34	0	85	75
