0.383	0.787	0.053	0.064
0.366	0.804	0.022	0.015
0.084	0.560	0.002	0.000
0.710	0.758	0.072	0.126
0.373	0.724	0.002	0.000
0.371	0.453	0.002	0.002
0.613	0.572	0.036	0.035
0.662	0.638	0.016	0.027
0.691	0.670	0.027	0.035
0.676	0.656	0.050	0.082
0.610	0.700	0.004	0.002
0.434	0.407	0.021	0.029
0.558	0.379	0.015	0.014
0.693	0.759	0.027	0.028
0.649	0.719	0.000	0.002
0.294	0.574	0.013	0.032
0.310	0.558	0.004	0.013
0.467	0.556	0.008	0.006
0.710	0.550	0.000	0.004
0.584	0.777	0.008	0.010
0.799	0.772	0.032	0.019
0.801	0.787	0.054	0.077
0.270	0.539	0.007	0.010
0.850	0.543	0.000	0.004
0.247	0.907	0.011	0.015
0.231	0.876	0.007	0.002
0.453	0.212	0.006	0.004
0.343	0.915	0.014	0.002
0.585	0.701	0.009	0.007
0.213	0.340	0.000	0.002
0.672	0.383	0.003	0.003
0.556	0.437	0.029	0.016
0.349	0.437	0.032	0.023
0.201	0.559	0.014	0.023
0.332	0.766	0.046	0.057
0.347	0.786	0.123	0.173
0.401	0.914	0.065	0.070
0.232	0.559	0.013	0.009
0.378	0.490	0.025	0.045
0.521	0.747	0.024	0.011
0.500	0.732	0.025	0.022
0.776	0.323	0.002	0.002
0.796	0.346	0.000	0.002
0.380	0.334	0.002	0.006
0.291	0.757	0.005	0.004
0.647	0.815	0.038	0.035
0.677	0.841	0.019	0.014
0.543	0.698	0.002	0.000
0.522	0.714	0.007	0.020
0.533	0.655	0.002	0.000
0.874	0.834	0.007	0.002
0.827	0.794	0.026	0.043
0.310	0.518	0.190	0.119
0.314	0.482	0.146	0.091
0.294	0.495	0.021	0.050
0.232	0.449	0.002	0.002
0.248	0.472	0.005	0.005
0.189	0.699	0.002	0.003
0.220	0.689	0.031	0.018
0.247	0.712	0.002	0.002
0.716	0.741	0.002	0.007
0.922	0.575	0.006	0.012
0.789	0.517	0.018	0.026
0.625	0.792	0.004	0.012
0.624	0.905	0.005	0.004
0.348	0.727	0.000	0.002
0.472	0.842	0.080	0.113
0.908	0.663	0.032	0.033
0.422	0.927	0.015	0.013
0.810	0.906	0.002	0.000
0.487	0.750	0.008	0.002
0.473	0.351	0.006	0.005
0.675	0.408	0.004	0.005
0.651	0.421	0.008	0.008
0.648	0.396	0.133	0.161
0.675	0.455	0.011	0.009
0.792	0.635	0.047	0.070
0.758	0.721	0.192	0.243
0.731	0.759	0.130	0.145
0.841	0.754	0.039	0.031
0.863	0.431	0.016	0.016
0.824	0.439	0.017	0.013
0.185	0.398	0.003	0.004
0.206	0.417	0.015	0.016
0.679	0.524	0.012	0.026
0.822	0.926	0.020	0.009
0.794	0.941	0.034	0.066
0.425	0.530	0.020	0.028
0.412	0.556	0.033	0.055
0.390	0.539	0.000	0.002
0.743	0.711	0.002	0.034
0.736	0.735	0.314	0.417
0.296	0.453	0.016	0.030
0.273	0.460	0.036	0.031
0.245	0.384	0.007	0.008
0.212	0.377	0.000	0.002
0.754	0.786	0.069	0.070
0.897	0.588	0.024	0.029
0.916	0.590	0.000	0.003
0.808	0.536	0.035	0.038
0.826	0.518	0.044	0.033
0.567	0.683	0.008	0.010
0.549	0.667	0.002	0.000
0.625	0.764	0.002	0.000
0.602	0.771	0.040	0.034
0.246	0.813	0.013	0.015
0.908	0.619	0.016	0.048
0.925	0.617	0.056	0.076
0.565	0.877	0.021	0.014
0.632	0.932	0.006	0.000
0.430	0.488	0.092	0.099
0.476	0.740	0.006	0.009
0.188	0.473	0.009	0.016
0.175	0.458	0.016	0.004
0.538	0.464	0.110	0.110
0.534	0.489	0.007	0.021
0.223	0.622	0.077	0.078
0.234	0.607	0.003	0.000
