0.842	0.250	0.555
0.842	0.292	0.212
0.842	0.333	0.180
0.842	0.375	0.156
0.842	0.417	0.446
0.842	0.458	0.404
0.842	0.500	0.223
0.842	0.542	0.032
0.842	0.583	0.104
0.842	0.625	0.155
0.842	0.667	0.194
0.842	0.708	0.032
0.842	0.750	0.005
0.842	0.792	0.118
0.842	0.833	0.146
0.842	0.875	0.167
0.842	0.917	0.061
0.895	0.208	0.034
0.895	0.250	0.183
0.895	0.292	0.124
0.895	0.333	0.206
0.895	0.375	0.058
0.895	0.417	0.055
0.895	0.458	0.108
0.895	0.500	0.109
0.895	0.583	0.180
0.895	0.625	0.224
0.895	0.667	0.138
0.895	0.708	0.006
0.895	0.750	0.005
0.895	0.792	0.195
0.895	0.833	0.310
0.895	0.875	0.226
0.895	0.917	0.032
0.947	0.208	0.017
0.947	0.250	0.005
0.947	0.292	0.006
0.947	0.333	0.464
0.947	0.375	0.166
0.947	0.417	0.114
0.947	0.458	0.159
0.947	0.500	0.268
0.947	0.542	0.062
0.947	0.583	0.270
0.947	0.625	0.210
0.947	0.667	0.202
0.947	0.750	0.180
0.947	0.792	0.305
0.947	0.833	0.177
0.947	0.875	0.040
0.947	0.917	0.015
1.000	0.292	0.004
1.000	0.333	0.019
1.000	0.375	0.092
1.000	0.417	0.006
1.000	0.458	0.051
1.000	0.583	0.222
1.000	0.625	0.122
1.000	0.792	0.125
1.000	0.833	0.091
1.000	0.875	0.023
